52FF,勿,4
5301,匁,4
5302,匂,4
5305,包,5
5316,化,4
5317,北,5
5320,匠,6
5321,匡,6
5339,匹,4
533A,区,4
533B,医,7
533F,匿,10
5341,十,2
5343,千,3
5347,升,4
5348,午,4
534A,半,5
5351,卑,7
5352,卒,8
5353,卓,8
5354,協,8
5357,南,9
5358,単,9
535A,博,12
535C,卜,2
5360,占,5
536F,卯,5
5370,印,6
5371,危,6
5373,即,7
5374,却,7
5375,卵,7
5377,卷,8
5378,卸,8
537D,卽,9
537F,卿,10
5384,厄,4
5398,厘,9
539A,厚,9
539F,原,10
53A8,厨,12
53A9,厩,11
53B3,厳,16
53BB,去,5
53C2,参,8
53C8,又,2
53C9,叉,3
53CA,及,3
53CB,友,4
53CC,双,4
53CD,反,4
53CE,収,4
53D4,叔,8
53D6,取,8
53D7,受,8
53D9,叙,9
53E1,叡,16
53E2,叢,18
53E3,口,3
53E4,古,5
53E5,句,5
53EA,只,5
53EB,叫,5
53EC,召,5
53EF,可,5
53F0,台,5
53F2,史,5
53F3,右,5
53F6,叶,5
53F7,号,5
53F8,司,5
5404,各,6
5408,合,6
5409,吉,6
540C,同,6
540D,名,6
540E,后,6
540F,吏,6
5410,吐,6
5411,向,6
541B,君,7
541E,吞,7
541F,吟,7
5426,否,7
542B,含,7
5438,吸,6
5439,吹,7
543B,吻,7
543E,吾,7
5442,呂,7
5448,呈,7
5449,呉,7
544A,告,7
5468,周,8
546A,呪,8
5473,味,8
547C,呼,8
547D,命,8
548C,和,8
54B2,咲,9
54BD,咽,9
54C0,哀,9
54C1,品,9
54C9,哉,9
54E1,員,10
54E8,哨,10
54E9,哩,10
54F2,哲,10
54FA,哺,10
5504,唄,10
5506,唆,10
5507,唇,10
5510,唐,10
552F,唯,11
5531,唱,11
553E,唾,11
5544,啄,10
5546,商,11
554F,問,11
5553,啓,11
5584,善,12
5589,喉,12
558B,喋,12
559A,喚,12
559C,喜,12
559D,喝,11
55A7,喧,12
55A9,喩,12
