example_id                                                          | status | run_time        |
./spec/models/result_comment_master_spec.rb[1:3:2]                  | passed | 0.00994 seconds |
./spec/models/result_comment_master_spec.rb[1:3:3]                  | passed | 0.00517 seconds |
./spec/models/result_comment_master_spec.rb[1:4:1]                  | passed | 0.00193 seconds |
./spec/models/result_comment_master_spec.rb[1:5:1]                  | passed | 0.00092 seconds |
./spec/models/result_comment_master_spec.rb[1:5:2]                  | passed | 0.00104 seconds |
./spec/models/result_comment_master_spec.rb[1:5:3]                  | passed | 0.00129 seconds |
./spec/models/result_comment_master_spec.rb[1:6:1]                  | passed | 0.00151 seconds |
./spec/models/result_comment_master_spec.rb[1:6:2]                  | passed | 0.00133 seconds |
./spec/models/result_detaile_master_spec.rb[1:1:1]                  | passed | 0.00085 seconds |
./spec/models/result_detaile_master_spec.rb[1:1:2]                  | passed | 0.00374 seconds |
./spec/models/result_detaile_master_spec.rb[1:2:1]                  | passed | 0.0008 seconds  |
./spec/models/result_detaile_master_spec.rb[1:2:2]                  | passed | 0.00082 seconds |
./spec/models/result_detaile_master_spec.rb[1:2:3]                  | passed | 0.00114 seconds |
./spec/models/result_detaile_master_spec.rb[1:2:4]                  | passed | 0.00139 seconds |
./spec/models/result_detaile_master_spec.rb[1:3:1]                  | passed | 0.00155 seconds |
./spec/models/result_detaile_master_spec.rb[1:3:2]                  | failed | 0.00175 seconds |
./spec/models/result_detaile_master_spec.rb[1:3:3]                  | passed | 0.00105 seconds |
./spec/models/result_detaile_master_spec.rb[1:4:1]                  | passed | 0.00121 seconds |
./spec/models/result_detaile_master_spec.rb[1:5:1]                  | passed | 0.00104 seconds |
./spec/models/result_detaile_master_spec.rb[1:5:2]                  | passed | 0.00262 seconds |
./spec/models/result_detaile_master_spec.rb[1:6:1]                  | passed | 0.00139 seconds |
./spec/models/result_detaile_master_spec.rb[1:6:2]                  | passed | 0.00124 seconds |
./spec/models/result_detaile_master_spec.rb[1:7:1]                  | passed | 0.00088 seconds |
./spec/models/result_detaile_master_spec.rb[1:7:2]                  | passed | 0.00098 seconds |
./spec/models/result_string_count_spec.rb[1:1:1]                    | passed | 0.00011 seconds |
./spec/models/result_string_count_spec.rb[1:1:2]                    | passed | 0.0001 seconds  |
./spec/models/result_string_count_spec.rb[1:1:3]                    | passed | 0.00016 seconds |
./spec/models/result_string_count_spec.rb[1:2:1]                    | failed | 0.00014 seconds |
./spec/models/result_string_count_spec.rb[1:2:2]                    | failed | 0.00013 seconds |
./spec/models/result_string_count_spec.rb[1:2:3]                    | failed | 0.00012 seconds |
./spec/models/result_string_count_spec.rb[1:3:1]                    | failed | 0.00019 seconds |
./spec/models/result_string_count_spec.rb[1:3:2]                    | failed | 0.00013 seconds |
./spec/models/result_string_count_spec.rb[1:3:3]                    | passed | 0.0058 seconds  |
./spec/models/result_string_count_spec.rb[1:4:1]                    | passed | 0.00124 seconds |
./spec/models/result_string_count_spec.rb[1:4:2]                    | failed | 0.00016 seconds |
./spec/models/result_string_count_spec.rb[1:5:1]                    | failed | 0.00018 seconds |
./spec/models/result_string_count_spec.rb[1:5:2]                    | failed | 0.00012 seconds |
./spec/models/result_string_count_spec.rb[1:5:3]                    | failed | 0.00173 seconds |
./spec/models/string_count_spec.rb[1:1:1]                           | passed | 0.00015 seconds |
./spec/models/string_count_spec.rb[1:2:1:1]                         | passed | 0.00184 seconds |
./spec/models/string_count_spec.rb[1:2:1:2]                         | passed | 0.00156 seconds |
./spec/models/string_count_spec.rb[1:2:1:3]                         | passed | 0.00178 seconds |
./spec/models/string_count_spec.rb[1:3:1]                           | passed | 0.00091 seconds |
./spec/models/string_count_spec.rb[1:3:2]                           | passed | 0.0008 seconds  |
./spec/models/string_count_spec.rb[1:3:3]                           | passed | 0.00096 seconds |
./spec/models/string_count_spec.rb[1:4:1]                           | passed | 0.00084 seconds |
./spec/models/string_count_spec.rb[1:4:2]                           | passed | 0.00243 seconds |
./spec/models/string_count_spec.rb[1:4:3]                           | passed | 0.00088 seconds |
